Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
"1.1.3a OTP Field – 6-digit, valid 5 min, invalid OTP error message",LMS-28,10166,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.3a OTP Field – 6-digit, valid 5 min, invalid OTP error message",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1beb54bd,,,,,,,,,,,,,,,,0|i0009a:i,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
"1.1.4 Password Field – 8-20 chars, uppercase/lowercase/number/special, strength meter",LMS-29,10168,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.4 Password Field – 8-20 chars, uppercase/lowercase/number/special, strength meter",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27bf19c9,,,,,,,,,,,,,,,,0|i0009a:r,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
"1.1.5 Confirm Password – must match, blank check, mismatch error",LMS-30,10170,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.5 Confirm Password – must match, blank check, mismatch error",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b0fa8b9,,,,,,,,,,,,,,,,0|i0009a:v,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
"1.1.6 Terms & Conditions Checkbox – must be checked, clickable link",LMS-31,10172,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.6 Terms & Conditions Checkbox – must be checked, clickable link",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18bdcbd1,,,,,,,,,,,,,,,,0|i0009a:x,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
1.1.7 Sign Up Button – enabled only when all inputs valid & OTP verified,LMS-32,10174,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:13 AM,,,,0,1.1.7 Sign Up Button – enabled only when all inputs valid & OTP verified,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1784670c,,,,,,,,,,,,,,,,0|i0009a:y,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
MODULE 2 – User Login,LMS-4,10125,Epic,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,All stories related to user authentication and password recovery.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@77248cff,,,,,ghx-label-4,,To Do,,,,dark_blue,,,,,0|i0009b:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:45 AM
1.1 Sign Up / Registration Form,LMS-2,10122,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 11:12 AM,02/Apr/26 11:10 AM,,,0,Implement the registration form with all field validations.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c57a087,,,,,,,,,,,,,,,,0|i0009f:,,,,,,,,,,,,,,,10120,LMS-1,MODULE 1 – User Registration,To Do,02/Apr/26 10:45 AM
1.2 Social Login (Google / Facebook),LMS-3,10124,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 11:12 AM,,,,0,Allow users to sign up / log in via Google or Facebook OAuth.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@700222a3,,,,,,,,,,,,,,,,0|i0009h:,,,,,,,,,,,,,,,10120,LMS-1,MODULE 1 – User Registration,To Do,02/Apr/26 10:45 AM
2.1 Email / Mobile Login,LMS-5,10127,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,Implement login via email+password or mobile+OTP.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7f852a2,,,,,,,,,,,,,,,,0|i0009j:,,,,,,,,,,,,,,,10125,LMS-4,MODULE 2 – User Login,To Do,02/Apr/26 10:45 AM
MODULE 3 – Dashboard / Home Page,LMS-6,10128,Epic,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,"Post-login dashboard, navigation, header, and profile management.",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b87e928,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i0009r:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:45 AM
3.1 Navigation & Session Management,LMS-7,10130,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,"Redirect to dashboard after login, maintain session, expire on timeout.",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@495cb44b,,,,,,,,,,,,,,,,0|i0009z:,,,,,,,,,,,,,,,10128,LMS-6,MODULE 3 – Dashboard / Home Page,To Do,02/Apr/26 10:45 AM
3.2.1 Search Bar,LMS-8,10132,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,Implement header search bar with auto-suggestions.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@284730d2,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,,,,10128,LMS-6,MODULE 3 – Dashboard / Home Page,To Do,02/Apr/26 10:45 AM
3.2.2 User Profile Icon & Dropdown,LMS-9,10134,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,"Profile icon with dropdown: My Profile, My Courses, Logout.",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4cae7dbb,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,,,,10128,LMS-6,MODULE 3 – Dashboard / Home Page,To Do,02/Apr/26 10:45 AM
MODULE 4 – Course Listing Page,LMS-10,10135,Epic,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,Browse and search courses with card layout.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53e235dc,,,,,ghx-label-5,,To Do,,,,dark_teal,,,,,0|i000an:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:45 AM
4.1 Course Card Layout,LMS-11,10137,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:46 AM,02/Apr/26 10:46 AM,,,,0,"Display course thumbnail, title, instructor, price, rating, and enroll button.",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7084eacd,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,,,,10135,LMS-10,MODULE 4 – Course Listing Page,To Do,02/Apr/26 10:46 AM
MODULE 5 – Course Detail Page,LMS-12,10138,Epic,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:46 AM,02/Apr/26 10:46 AM,,,,0,Full detail view of a single course with preview video and enroll action.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@580ccc12,,,,,ghx-label-8,,To Do,,,,dark_purple,,,,,0|i000b3:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:46 AM
5.1 Course Information Section,LMS-13,10140,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:46 AM,02/Apr/26 10:46 AM,,,,0,"Show title, full description, duration, and number of lectures.",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@173bc3c4,,,,,,,,,,,,,,,,0|i000bb:,,,,,,,,,,,,,,,10138,LMS-12,MODULE 5 – Course Detail Page,To Do,02/Apr/26 10:46 AM
